2024-03-22 14:46:29,726 Started
2024-03-22 14:46:29,729 [0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 3, 1, 0, 0]:0.99,0.99,0.99,0.99,0.99,0.99
2024-03-22 14:46:29,729 [3, 3, 0, 1, 1, 0, 0, 0, 0, 2, 4, 0, 3, 0, 1, 1]:0.99,0.99,0.99,0.99,0.99,0.99
2024-03-22 14:46:29,729 [3, 0, 0, 1, 0, 1, 1, 0, 1, 1, 6, 1, 2, 0, 0, 2]:0.99,0.99,0.99,0.99,0.99,0.99
2024-03-22 14:46:29,729 [0, 3, 0, 1, 1, 0, 0, 1, 0, 0, 6, 1, 4, 1, 1, 0]:0.99,0.99,0.99,0.99,0.99,0.99
2024-03-22 14:46:29,729 [1, 3, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 4, 0, 1, 0]:0.99,0.99,0.99,0.99,0.99,0.99
2024-03-22 14:46:29,729 [0, 1, 0, 1, 1, 1, 1, 0, 0, 2, 5, 0, 3, 0, 0, 0]:0.99,0.99,0.99,0.99,0.99,0.99
2024-03-22 14:53:18,274 [3, 3, 0, 1, 1, 0, 0, 0, 0, 0, 6, 1, 2, 1, 1, 0]:0.99,0.99,0.99,0.99,0.99,0.99
2024-03-22 14:53:18,275 [1, 3, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 3, 0, 1, 0]:0.99,0.99,0.99,0.99,0.99,0.99
2024-03-22 14:53:18,275 [0, 1, 0, 1, 1, 1, 1, 1, 0, 2, 0, 1, 3, 0, 0, 0]:0.99,0.99,0.99,0.99,0.99,0.99
2024-03-22 14:53:18,275 [3, 3, 0, 0, 1, 1, 0, 0, 0, 2, 0, 1, 2, 1, 1, 2]:0.99,0.99,0.99,0.99,0.99,0.99
2024-03-22 14:53:18,275 [0, 3, 0, 1, 1, 0, 0, 0, 1, 2, 5, 1, 4, 0, 0, 0]:0.99,0.99,0.99,0.99,0.99,0.99
2024-03-22 14:53:18,275 [1, 3, 0, 1, 1, 1, 0, 0, 0, 0, 2, 1, 2, 1, 1, 0]:0.99,0.99,0.99,0.99,0.99,0.99
2024-03-22 14:53:18,275 [3, 3, 0, 0, 1, 0, 1, 0, 0, 0, 6, 1, 2, 1, 1, 0]:0.99,0.99,0.99,0.99,0.99,0.99
2024-03-22 14:53:18,275 [0, 1, 0, 1, 1, 0, 0, 1, 0, 2, 0, 1, 3, 0, 0, 0]:0.99,0.99,0.99,0.99,0.99,0.99
2024-03-22 14:53:18,275 [0, 3, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 2, 0, 1, 0]:0.99,0.99,0.99,0.99,0.99,0.99
2024-03-22 14:59:51,436 [2, 2, 0, 1, 0, 0, 0, 0, 0, 1, 3, 1, 2, 1, 0, 0]:0.99,0.99,0.99,0.99,0.99,0.99
2024-03-22 14:59:51,436 [2, 0, 0, 1, 0, 0, 1, 1, 0, 0, 4, 1, 2, 1, 0, 0]:0.99,0.99,0.99,0.99,0.99,0.99
2024-03-22 14:59:51,436 [2, 2, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 3, 0, 1, 0]:0.99,0.99,0.99,0.99,0.99,0.99
2024-03-22 14:59:51,437 [3, 2, 0, 1, 1, 0, 1, 0, 0, 1, 5, 0, 4, 1, 0, 1]:0.99,0.99,0.99,0.99,0.99,0.99
2024-03-22 14:59:51,437 [0, 3, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 3, 0, 1, 0]:0.99,0.99,0.99,0.99,0.99,0.99
2024-03-22 14:59:51,437 [3, 1, 0, 1, 0, 1, 1, 0, 0, 1, 3, 1, 3, 1, 1, 2]:0.99,0.99,0.99,0.99,0.99,0.99
2024-03-22 15:06:45,967 [3, 0, 0, 1, 0, 1, 1, 1, 1, 1, 6, 0, 4, 0, 0, 0]:0.99,0.99,0.99,0.99,0.99,0.99
